date,year,month,day,day_of_week,weather,days_passed,mesh,gram,extraction_time,bean_name,user_name,temperature,humidity
2024-12-13,2024,12,13,4,晴れ,11.0,8.1,16.5,30,エチオピア イルガチェフェ,コーヒー愛好家,4.1,69.6
2024-12-14,2024,12,14,5,晴れ,12.0,8.2,15.2,22,エチオピア イルガチェフェ,コーヒー愛好家,3.0,70.9
2024-12-15,2024,12,15,6,晴れ,13.0,8.1,15.8,28,エチオピア イルガチェフェ,コーヒー愛好家,2.4,66.7
2024-12-17,2024,12,17,1,晴れ,15.0,8.1,16.2,28,エチオピア イルガチェフェ,コーヒー愛好家,3.4,65.5
2024-12-18,2024,12,18,2,曇り,16.0,8.0,16.0,28,エチオピア イルガチェフェ,コーヒー愛好家,2.9,63.6
2024-12-19,2024,12,19,3,曇り,17.0,8.1,16.0,27,エチオピア イルガチェフェ,コーヒー愛好家,5.9,68.6
2024-12-20,2024,12,20,4,曇り,18.0,8.0,16.4,30,エチオピア イルガチェフェ,コーヒー愛好家,5.0,61.5
2024-12-21,2024,12,21,5,曇り,19.0,8.1,17.2,33,エチオピア イルガチェフェ,コーヒー愛好家,2.6,61.7
2024-12-22,2024,12,22,6,晴れ,20.0,8.0,15.8,32,エチオピア イルガチェフェ,コーヒー愛好家,2.9,74.1
2024-12-23,2024,12,23,0,曇り,21.0,8.2,16.8,24,エチオピア イルガチェフェ,コーヒー愛好家,1.8,63.4
2024-12-24,2024,12,24,1,曇り,22.0,8.2,16.0,26,エチオピア イルガチェフェ,コーヒー愛好家,4.2,70.5
2024-12-25,2024,12,25,2,曇り,16.0,8.0,16.0,34,エチオピア イルガチェフェ,コーヒー愛好家,3.5,69.2
2024-12-26,2024,12,26,3,晴れ,17.0,8.0,15.8,35,エチオピア イルガチェフェ,コーヒー愛好家,2.8,64.9
2024-12-27,2024,12,27,4,晴れ,18.0,8.0,15.6,35,エチオピア イルガチェフェ,コーヒー愛好家,4.7,63.4
2025-01-03,2025,1,3,4,晴れ,25.0,8.0,15.6,36,エチオピア イルガチェフェ,コーヒー愛好家,0.5,66.0
2025-01-04,2025,1,4,5,晴れ,26.0,8.0,15.3,34,エチオピア イルガチェフェ,コーヒー愛好家,3.5,61.5
2025-01-05,2025,1,5,6,晴れ,20.0,8.0,15.3,35,エチオピア イルガチェフェ,コーヒー愛好家,1.7,64.4
2025-01-07,2025,1,7,1,晴れ,22.0,8.0,15.6,33,エチオピア イルガチェフェ,コーヒー愛好家,1.0,62.2
2025-01-08,2025,1,8,2,晴れ,23.0,8.0,15.3,32,エチオピア イルガチェフェ,コーヒー愛好家,3.2,68.1
2025-01-09,2025,1,9,3,晴れ,24.0,8.0,15.5,31,エチオピア イルガチェフェ,コーヒー愛好家,2.2,62.0
2025-01-10,2025,1,10,4,晴れ,25.0,8.0,15.5,34,エチオピア イルガチェフェ,コーヒー愛好家,0.6,63.1
2025-01-11,2025,1,11,5,晴れ,26.0,8.0,15.1,33,エチオピア イルガチェフェ,コーヒー愛好家,1.5,69.2
2025-01-11,2025,1,11,5,晴れ,17.0,8.1,15.8,31,エチオピア イルガチェフェ,コーヒー愛好家,1.5,69.2
2025-01-12,2025,1,12,6,晴れ,18.0,8.1,15.8,35,エチオピア イルガチェフェ,コーヒー愛好家,0.8,66.6
2025-01-13,2025,1,13,0,晴れ,19.0,8.1,15.8,36,エチオピア イルガチェフェ,コーヒー愛好家,1.9,59.9
2025-01-14,2025,1,14,1,晴れ,8.0,8.1,15.5,29,エチオピア イルガチェフェ,コーヒー愛好家,1.3,65.0
2025-01-15,2025,1,15,2,曇り,9.0,8.1,15.5,33,エチオピア イルガチェフェ,コーヒー愛好家,2.3,64.6
2025-01-16,2025,1,16,3,曇り,10.0,8.1,15.3,33,エチオピア イルガチェフェ,コーヒー愛好家,0.9,69.1
2025-01-17,2025,1,17,4,曇り,11.0,8.1,15.6,34,エチオピア イルガチェフェ,コーヒー愛好家,3.4,68.5
2025-01-18,2025,1,18,5,晴れ,12.0,8.1,15.4,32,エチオピア イルガチェフェ,コーヒー愛好家,3.3,65.3
2025-01-19,2025,1,19,6,晴れ,13.0,8.1,16.0,33,エチオピア イルガチェフェ,コーヒー愛好家,2.8,67.2
2025-01-19,2025,1,19,6,晴れ,12.0,8.1,15.6,32,エチオピア イルガチェフェ,コーヒー愛好家,2.8,67.2
2025-01-21,2025,1,21,1,晴れ,15.0,8.2,16.0,31,エチオピア イルガチェフェ,コーヒー愛好家,1.9,62.2
2025-01-22,2025,1,22,2,晴れ,16.0,8.2,16.6,32,エチオピア イルガチェフェ,コーヒー愛好家,1.1,67.6
2025-01-23,2025,1,23,3,曇り,17.0,8.2,16.4,30,エチオピア イルガチェフェ,コーヒー愛好家,1.9,62.6
2025-01-24,2025,1,24,4,晴れ,18.0,8.2,16.4,30,エチオピア イルガチェフェ,コーヒー愛好家,1.9,62.9
2025-01-25,2025,1,25,5,曇り,19.0,8.2,16.4,29,エチオピア イルガチェフェ,コーヒー愛好家,1.7,60.5
2025-01-26,2025,1,26,6,晴れ,20.0,8.1,16.4,34,エチオピア イルガチェフェ,コーヒー愛好家,2.4,69.9
2025-01-28,2025,1,28,1,晴れ,22.0,8.0,15.8,36,エチオピア イルガチェフェ,コーヒー愛好家,3.3,64.5
2025-01-29,2025,1,29,2,晴れ,9.0,8.3,15.5,28,エチオピア イルガチェフェ,コーヒー愛好家,2.9,64.2
2025-01-30,2025,1,30,3,曇り,10.0,8.3,16.0,26,エチオピア イルガチェフェ,コーヒー愛好家,2.0,64.5
2025-01-31,2025,1,31,4,雨,11.0,8.3,16.0,26,エチオピア イルガチェフェ,コーヒー愛好家,3.3,59.8
2025-02-01,2025,2,1,5,晴れ,12.0,8.2,16.2,26,エチオピア イルガチェフェ,コーヒー愛好家,1.8,60.2
2025-02-02,2025,2,2,6,曇り,13.0,8.2,15.8,33,エチオピア イルガチェフェ,コーヒー愛好家,2.8,63.0
2025-02-04,2025,2,4,1,晴れ,15.0,8.1,16.0,35,エチオピア イルガチェフェ,コーヒー愛好家,4.4,66.8
2025-02-05,2025,2,5,2,晴れ,16.0,8.1,15.8,30,エチオピア イルガチェフェ,コーヒー愛好家,3.2,59.5
2025-02-06,2025,2,6,3,晴れ,10.0,8.2,16.6,32,エチオピア イルガチェフェ,コーヒー愛好家,2.1,64.7
2025-02-07,2025,2,7,4,晴れ,11.0,8.2,16.6,30,エチオピア イルガチェフェ,コーヒー愛好家,3.5,59.5
2025-02-08,2025,2,8,5,雪,12.0,8.2,16.4,30,エチオピア イルガチェフェ,コーヒー愛好家,1.8,66.4
2025-02-09,2025,2,9,6,晴れ,13.0,8.1,16.6,32,エチオピア イルガチェフェ,コーヒー愛好家,3.0,66.7
2025-02-11,2025,2,11,1,曇り,8.0,8.3,16.8,27,エチオピア イルガチェフェ,コーヒー愛好家,1.4,60.2
2025-02-12,2025,2,12,2,曇り,9.0,8.2,16.0,33,エチオピア イルガチェフェ,コーヒー愛好家,4.4,58.6
2025-02-14,2025,2,14,4,曇り,11.0,8.2,16.5,30,エチオピア イルガチェフェ,コーヒー愛好家,1.9,61.1
2025-02-15,2025,2,15,5,晴れ,12.0,8.3,15.8,33,エチオピア イルガチェフェ,コーヒー愛好家,2.4,58.1
2025-02-16,2025,2,16,6,晴れ,13.0,8.3,16.3,27,エチオピア イルガチェフェ,コーヒー愛好家,3.6,55.0
2025-02-18,2025,2,18,1,晴れ,8.0,8.3,16.8,32,エチオピア イルガチェフェ,コーヒー愛好家,3.6,60.2
2025-02-19,2025,2,19,2,晴れ,9.0,8.3,16.5,28,エチオピア イルガチェフェ,コーヒー愛好家,2.4,59.8
2025-02-20,2025,2,20,3,曇り,10.0,8.4,16.8,27,エチオピア イルガチェフェ,コーヒー愛好家,-0.3,57.4
2025-02-23,2025,2,23,6,曇り,6.0,8.6,16.6,26,エチオピア イルガチェフェ,コーヒー愛好家,2.1,65.3
2025-02-24,2025,2,24,0,雪,7.0,8.4,15.8,24,エチオピア イルガチェフェ,コーヒー愛好家,2.8,63.1
2025-02-25,2025,2,25,1,晴れ,8.0,8.4,16.1,29,エチオピア イルガチェフェ,コーヒー愛好家,0.9,60.7
2025-02-26,2025,2,26,2,晴れ,9.0,8.4,16.3,28,エチオピア イルガチェフェ,コーヒー愛好家,5.7,62.3
2025-02-27,2025,2,27,3,晴れ,10.0,8.3,16.0,26,エチオピア イルガチェフェ,コーヒー愛好家,1.7,63.1
2025-02-28,2025,2,28,4,曇り,11.0,8.4,16.2,28,エチオピア イルガチェフェ,コーヒー愛好家,4.4,60.3
2025-03-01,2025,3,1,5,晴れ,12.0,8.4,16.0,28,エチオピア イルガチェフェ,コーヒー愛好家,7.8,60.3
2025-03-02,2025,3,2,6,晴れ,13.0,8.5,16.0,30,エチオピア イルガチェフェ,コーヒー愛好家,6.5,66.7
2025-03-04,2025,3,4,1,雨,8.0,8.5,15.5,29,エチオピア イルガチェフェ,コーヒー愛好家,7.3,55.0
2025-03-05,2025,3,5,2,雨,9.0,8.7,15.6,26,エチオピア イルガチェフェ,コーヒー愛好家,6.5,60.2
2025-03-06,2025,3,6,3,曇り,10.0,8.7,15.6,23,エチオピア イルガチェフェ,コーヒー愛好家,6.3,59.0
2025-03-07,2025,3,7,4,曇り,11.0,8.7,16.2,26,エチオピア イルガチェフェ,コーヒー愛好家,7.6,62.1
2025-03-08,2025,3,8,5,晴れ,12.0,8.6,15.8,23,エチオピア イルガチェフェ,コーヒー愛好家,6.1,61.5
2025-03-09,2025,3,9,6,晴れ,13.0,8.5,16.0,30,エチオピア イルガチェフェ,コーヒー愛好家,7.9,64.0
2025-03-11,2025,3,11,1,雨,15.0,8.5,16.0,28,エチオピア イルガチェフェ,コーヒー愛好家,5.6,58.3
2025-03-12,2025,3,12,2,曇り,16.0,8.5,16.3,30,エチオピア イルガチェフェ,コーヒー愛好家,5.1,66.6
2025-03-13,2025,3,13,3,曇り,17.0,8.5,16.3,25,エチオピア イルガチェフェ,コーヒー愛好家,5.8,66.8
2025-03-14,2025,3,14,4,晴れ,18.0,8.4,16.0,28,エチオピア イルガチェフェ,コーヒー愛好家,4.3,48.7
2025-03-15,2025,3,15,5,晴れ,19.0,8.3,16.0,31,エチオピア イルガチェフェ,コーヒー愛好家,5.7,51.7
2025-03-16,2025,3,16,6,雨,12.0,8.6,16.0,27,エチオピア イルガチェフェ,コーヒー愛好家,7.3,58.3
2025-03-18,2025,3,18,1,晴れ,14.0,8.6,16.0,27,エチオピア イルガチェフェ,コーヒー愛好家,5.5,63.3
2025-03-19,2025,3,19,2,雪,15.0,8.5,15.8,27,エチオピア イルガチェフェ,コーヒー愛好家,6.5,59.9
2025-03-20,2025,3,20,3,晴れ,16.0,8.7,16.2,27,エチオピア イルガチェフェ,コーヒー愛好家,7.8,57.6
2025-03-21,2025,3,21,4,晴れ,11.0,8.7,16.3,26,エチオピア イルガチェフェ,コーヒー愛好家,4.3,57.7
2025-03-22,2025,3,22,5,晴れ,12.0,8.7,16.5,24,エチオピア イルガチェフェ,コーヒー愛好家,6.4,53.7
2025-03-23,2025,3,23,6,晴れ,13.0,8.7,16.6,24,エチオピア イルガチェフェ,コーヒー愛好家,7.0,57.5
2025-03-25,2025,3,25,1,晴れ,15.0,8.6,16.6,27,エチオピア イルガチェフェ,コーヒー愛好家,7.3,59.9
2025-03-26,2025,3,26,2,晴れ,16.0,8.6,16.6,27,エチオピア イルガチェフェ,コーヒー愛好家,6.0,56.0
2025-03-27,2025,3,27,3,晴れ,17.0,8.6,16.6,27,エチオピア イルガチェフェ,コーヒー愛好家,6.1,57.1
2025-03-28,2025,3,28,4,曇り,11.0,8.7,16.3,25,エチオピア イルガチェフェ,コーヒー愛好家,7.5,65.8
2025-03-30,2025,3,30,6,晴れ,13.0,8.6,16.0,24,エチオピア イルガチェフェ,コーヒー愛好家,6.3,51.5
2025-04-01,2025,4,1,1,曇り,15.0,8.7,16.3,26,エチオピア イルガチェフェ,コーヒー愛好家,9.1,63.6
2025-04-02,2025,4,2,2,曇り,16.0,8.7,16.3,29,エチオピア イルガチェフェ,コーヒー愛好家,12.2,61.7
2025-04-03,2025,4,3,3,晴れ,8.0,8.7,16.0,25,エチオピア イルガチェフェ,コーヒー愛好家,11.7,50.4
2025-04-04,2025,4,4,4,曇り,9.0,8.6,15.8,23,エチオピア イルガチェフェ,コーヒー愛好家,10.1,55.2
2025-04-05,2025,4,5,5,晴れ,10.0,8.7,15.8,31,エチオピア イルガチェフェ,コーヒー愛好家,12.1,58.3
2025-04-06,2025,4,6,6,晴れ,11.0,8.7,16.3,27,エチオピア イルガチェフェ,コーヒー愛好家,14.3,56.3
2025-04-08,2025,4,8,1,晴れ,13.0,8.7,16.8,31,エチオピア イルガチェフェ,コーヒー愛好家,12.5,70.6
2025-04-09,2025,4,9,2,晴れ,14.0,8.7,16.3,24,エチオピア イルガチェフェ,コーヒー愛好家,13.1,51.8
2025-04-10,2025,4,10,3,曇り,15.0,8.7,16.6,24,エチオピア イルガチェフェ,コーヒー愛好家,11.8,66.6
2025-04-11,2025,4,11,4,晴れ,12.0,8.6,16.2,28,エチオピア イルガチェフェ,コーヒー愛好家,12.3,51.9
2025-04-12,2025,4,12,5,曇り,13.0,8.6,16.8,27,エチオピア イルガチェフェ,コーヒー愛好家,11.0,50.4
2025-04-13,2025,4,13,6,曇り,14.0,8.5,16.2,33,エチオピア イルガチェフェ,コーヒー愛好家,10.8,69.6
2025-04-15,2025,4,15,1,晴れ,16.0,8.6,16.8,27,エチオピア イルガチェフェ,コーヒー愛好家,12.8,64.5
2025-04-16,2025,4,16,2,曇り,17.0,8.6,16.5,30,エチオピア イルガチェフェ,コーヒー愛好家,13.8,61.4
2025-04-18,2025,4,18,4,曇り,4.0,8.7,16.3,25,エチオピア イルガチェフェ,コーヒー愛好家,13.8,67.0
2025-04-19,2025,4,19,5,晴れ,5.0,8.7,16.8,30,エチオピア イルガチェフェ,コーヒー愛好家,10.9,61.8
2025-04-20,2025,4,20,6,曇り,6.0,8.8,16.8,26,エチオピア イルガチェフェ,コーヒー愛好家,13.3,66.4
2025-04-22,2025,4,22,1,晴れ,8.0,8.8,16.8,24,エチオピア イルガチェフェ,コーヒー愛好家,11.6,54.1
2025-04-23,2025,4,23,2,雨,9.0,8.8,16.5,24,エチオピア イルガチェフェ,コーヒー愛好家,13.0,60.7
2025-04-24,2025,4,24,3,晴れ,10.0,8.8,16.5,19,エチオピア イルガチェフェ,コーヒー愛好家,10.8,60.3
2025-04-25,2025,4,25,4,曇り,11.0,8.7,16.5,23,エチオピア イルガチェフェ,コーヒー愛好家,12.7,57.2
2025-04-26,2025,4,26,5,晴れ,6.0,8.3,16.8,25,エチオピア イルガチェフェ,コーヒー愛好家,12.4,66.0
2025-04-28,2025,4,28,0,曇り,8.0,8.8,16.6,24,エチオピア イルガチェフェ,コーヒー愛好家,10.5,61.4
2025-04-29,2025,4,29,1,晴れ,9.0,8.8,16.8,22,エチオピア イルガチェフェ,コーヒー愛好家,12.9,54.5
2025-04-30,2025,4,30,2,晴れ,10.0,8.8,16.6,22,エチオピア イルガチェフェ,コーヒー愛好家,12.6,61.6
